model	probe	provider_a	provider_b	t	p_raw	p_bonf	q_fdr	cohens_d
moonshotai/kimi-k2-0905	freeflow	groq	novita	0.699	0.4852	1	0.5727	0.088
moonshotai/kimi-k2-0905	freeflow	groq	siliconflow	1.173	0.2418	1	0.3627	0.148
moonshotai/kimi-k2-0905	freeflow	novita	siliconflow	0.565	0.5727	1	0.5727	0.071
moonshotai/kimi-k2-thinking	freeflow	atlascloud	google	3.173	0.001768	0.005304	0.005304	0.401
moonshotai/kimi-k2-thinking	freeflow	atlascloud	novita	2.271	0.02412	0.07237	0.03618	0.287
moonshotai/kimi-k2-thinking	freeflow	google	novita	-1.029	0.3044	0.9133	0.3044	-0.130
deepseek/deepseek-v4-pro	values	atlascloud	gmicloud	-0.931	0.353	1	0.5884	-0.120
deepseek/deepseek-v4-pro	values	atlascloud	novita	0.068	0.946	1	1	0.009
deepseek/deepseek-v4-pro	values	atlascloud	parasail	-0.503	0.6155	1	0.7534	-0.066
deepseek/deepseek-v4-pro	values	atlascloud	siliconflow	-0.931	0.353	1	0.5884	-0.120
deepseek/deepseek-v4-pro	values	atlascloud	together	1.000	0.3195	1	0.5884	0.139
deepseek/deepseek-v4-pro	values	gmicloud	novita	1.006	0.3155	1	0.5884	0.130
deepseek/deepseek-v4-pro	values	gmicloud	parasail	0.450	0.653	1	0.7534	0.058
deepseek/deepseek-v4-pro	values	gmicloud	siliconflow	0.000	1	1	1	0.000
deepseek/deepseek-v4-pro	values	gmicloud	together	1.747	0.08325	1	0.5884	0.226
deepseek/deepseek-v4-pro	values	novita	parasail	-0.579	0.5632	1	0.7534	-0.075
deepseek/deepseek-v4-pro	values	novita	siliconflow	-1.006	0.3155	1	0.5884	-0.130
deepseek/deepseek-v4-pro	values	novita	together	1.000	0.3193	1	0.5884	0.129
deepseek/deepseek-v4-pro	values	parasail	siliconflow	-0.450	0.653	1	0.7534	-0.058
deepseek/deepseek-v4-pro	values	parasail	together	1.420	0.1582	1	0.5884	0.183
deepseek/deepseek-v4-pro	values	siliconflow	together	1.747	0.08325	1	0.5884	0.226
minimax/minimax-m2.7	values	minimax	together	-1.000	0.3193	0.3193	0.3193	-0.129
z-ai/glm-4.5	values	novita	zai	0.000	1	1	1	0.000
z-ai/glm-4.6	values	atlascloud	deepinfra	0.000	1	1	1	0.000
z-ai/glm-4.6	values	atlascloud	novita	0.000	1	1	1	0.000
z-ai/glm-4.6	values	atlascloud	siliconflow	1.000	0.3193	1	0.4355	0.129
z-ai/glm-4.6	values	atlascloud	venice	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	atlascloud	zai	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	deepinfra	novita	0.000	1	1	1	0.000
z-ai/glm-4.6	values	deepinfra	siliconflow	1.000	0.3193	1	0.4355	0.129
z-ai/glm-4.6	values	deepinfra	venice	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	deepinfra	zai	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	novita	siliconflow	1.000	0.3193	1	0.4355	0.129
z-ai/glm-4.6	values	novita	venice	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	novita	zai	-1.006	0.3155	1	0.4355	-0.130
z-ai/glm-4.6	values	siliconflow	venice	-1.747	0.08325	1	0.4355	-0.226
z-ai/glm-4.6	values	siliconflow	zai	-1.747	0.08325	1	0.4355	-0.226
z-ai/glm-4.6	values	venice	zai	0.000	1	1	1	0.000
z-ai/glm-4.7	values	atlascloud	cerebras	-1.439	0.1519	1	0.3954	-0.186
z-ai/glm-4.7	values	atlascloud	deepinfra	1.420	0.1582	1	0.3954	0.183
z-ai/glm-4.7	values	atlascloud	google	0.000	1	1	1	0.000
z-ai/glm-4.7	values	atlascloud	novita	-0.450	0.653	1	0.7941	-0.058
z-ai/glm-4.7	values	atlascloud	parasail	0.000	1	1	1	0.000
z-ai/glm-4.7	values	atlascloud	phala	1.420	0.1582	1	0.3954	0.183
z-ai/glm-4.7	values	atlascloud	siliconflow	0.000	1	1	1	0.000
z-ai/glm-4.7	values	atlascloud	venice	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	atlascloud	zai	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	cerebras	deepinfra	2.503	0.01368	0.6158	0.3079	0.323
z-ai/glm-4.7	values	cerebras	google	1.439	0.1519	1	0.3954	0.186
z-ai/glm-4.7	values	cerebras	novita	1.017	0.3102	1	0.5748	0.131
z-ai/glm-4.7	values	cerebras	parasail	1.439	0.1519	1	0.3954	0.186
z-ai/glm-4.7	values	cerebras	phala	2.503	0.01368	0.6158	0.3079	0.323
z-ai/glm-4.7	values	cerebras	siliconflow	1.439	0.1519	1	0.3954	0.186
z-ai/glm-4.7	values	cerebras	venice	1.925	0.05604	1	0.3954	0.248
z-ai/glm-4.7	values	cerebras	zai	1.925	0.05604	1	0.3954	0.248
z-ai/glm-4.7	values	deepinfra	google	-1.420	0.1582	1	0.3954	-0.183
z-ai/glm-4.7	values	deepinfra	novita	-1.747	0.08325	1	0.3954	-0.226
z-ai/glm-4.7	values	deepinfra	parasail	-1.420	0.1582	1	0.3954	-0.183
z-ai/glm-4.7	values	deepinfra	phala	0.000	1	1	1	0.000
z-ai/glm-4.7	values	deepinfra	siliconflow	-1.420	0.1582	1	0.3954	-0.183
z-ai/glm-4.7	values	deepinfra	venice	-1.000	0.3193	1	0.5748	-0.129
z-ai/glm-4.7	values	deepinfra	zai	-1.000	0.3193	1	0.5748	-0.129
z-ai/glm-4.7	values	google	novita	-0.450	0.653	1	0.7941	-0.058
z-ai/glm-4.7	values	google	parasail	0.000	1	1	1	0.000
z-ai/glm-4.7	values	google	phala	1.420	0.1582	1	0.3954	0.183
z-ai/glm-4.7	values	google	siliconflow	0.000	1	1	1	0.000
z-ai/glm-4.7	values	google	venice	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	google	zai	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	novita	parasail	0.450	0.653	1	0.7941	0.058
z-ai/glm-4.7	values	novita	phala	1.747	0.08325	1	0.3954	0.226
z-ai/glm-4.7	values	novita	siliconflow	0.450	0.653	1	0.7941	0.058
z-ai/glm-4.7	values	novita	venice	1.006	0.3155	1	0.5748	0.130
z-ai/glm-4.7	values	novita	zai	1.006	0.3155	1	0.5748	0.130
z-ai/glm-4.7	values	parasail	phala	1.420	0.1582	1	0.3954	0.183
z-ai/glm-4.7	values	parasail	siliconflow	0.000	1	1	1	0.000
z-ai/glm-4.7	values	parasail	venice	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	parasail	zai	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	phala	siliconflow	-1.420	0.1582	1	0.3954	-0.183
z-ai/glm-4.7	values	phala	venice	-1.000	0.3193	1	0.5748	-0.129
z-ai/glm-4.7	values	phala	zai	-1.000	0.3193	1	0.5748	-0.129
z-ai/glm-4.7	values	siliconflow	venice	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	siliconflow	zai	0.579	0.5632	1	0.768	0.075
z-ai/glm-4.7	values	venice	zai	0.000	1	1	1	0.000
z-ai/glm-5.1	values	ambient	atlascloud	1.858	0.06448	1	0.7424	0.240
z-ai/glm-5.1	values	ambient	chutes	1.141	0.2553	1	0.8145	0.147
z-ai/glm-5.1	values	ambient	deepinfra	1.968	0.0504	1	0.7424	0.254
z-ai/glm-5.1	values	ambient	friendli	1.968	0.0504	1	0.7424	0.254
z-ai/glm-5.1	values	ambient	gmicloud	1.676	0.09514	1	0.7424	0.216
z-ai/glm-5.1	values	ambient	inceptron	1.676	0.09514	1	0.7424	0.216
z-ai/glm-5.1	values	ambient	novita	2.145	0.03308	1	0.7424	0.277
z-ai/glm-5.1	values	ambient	parasail	0.893	0.373	1	0.8145	0.115
z-ai/glm-5.1	values	ambient	phala	0.893	0.373	1	0.8145	0.115
z-ai/glm-5.1	values	ambient	siliconflow	1.401	0.1626	1	0.8145	0.181
z-ai/glm-5.1	values	ambient	together	2.280	0.02374	1	0.7424	0.294
z-ai/glm-5.1	values	ambient	venice	0.210	0.8335	1	0.903	0.027
z-ai/glm-5.1	values	ambient	zai	1.141	0.2553	1	0.8145	0.147
z-ai/glm-5.1	values	atlascloud	chutes	-0.791	0.4296	1	0.8145	-0.102
z-ai/glm-5.1	values	atlascloud	deepinfra	0.000	1	1	1	0.000
z-ai/glm-5.1	values	atlascloud	friendli	0.000	1	1	1	0.000
z-ai/glm-5.1	values	atlascloud	gmicloud	-0.282	0.7784	1	0.8797	-0.036
z-ai/glm-5.1	values	atlascloud	inceptron	-0.282	0.7784	1	0.8797	-0.036
z-ai/glm-5.1	values	atlascloud	novita	0.280	0.7798	1	0.8797	0.036
z-ai/glm-5.1	values	atlascloud	parasail	-1.025	0.3066	1	0.8145	-0.132
z-ai/glm-5.1	values	atlascloud	phala	-1.025	0.3066	1	0.8145	-0.132
z-ai/glm-5.1	values	atlascloud	siliconflow	-0.544	0.5867	1	0.8752	-0.070
z-ai/glm-5.1	values	atlascloud	together	0.305	0.7606	1	0.8797	0.039
z-ai/glm-5.1	values	atlascloud	venice	-1.662	0.0979	1	0.7424	-0.215
z-ai/glm-5.1	values	atlascloud	zai	-0.791	0.4296	1	0.8145	-0.102
z-ai/glm-5.1	values	chutes	deepinfra	0.853	0.3944	1	0.8145	0.110
z-ai/glm-5.1	values	chutes	friendli	0.853	0.3944	1	0.8145	0.110
z-ai/glm-5.1	values	chutes	gmicloud	0.549	0.5836	1	0.8752	0.071
z-ai/glm-5.1	values	chutes	inceptron	0.549	0.5836	1	0.8752	0.071
z-ai/glm-5.1	values	chutes	novita	1.091	0.2764	1	0.8145	0.141
z-ai/glm-5.1	values	chutes	parasail	-0.251	0.8023	1	0.8797	-0.032
z-ai/glm-5.1	values	chutes	phala	-0.251	0.8023	1	0.8797	-0.032
z-ai/glm-5.1	values	chutes	siliconflow	0.266	0.7908	1	0.8797	0.034
z-ai/glm-5.1	values	chutes	together	1.183	0.238	1	0.8145	0.153
z-ai/glm-5.1	values	chutes	venice	-0.932	0.3523	1	0.8145	-0.120
z-ai/glm-5.1	values	chutes	zai	0.000	1	1	1	0.000
z-ai/glm-5.1	values	deepinfra	friendli	0.000	1	1	1	0.000
z-ai/glm-5.1	values	deepinfra	gmicloud	-0.307	0.7588	1	0.8797	-0.040
z-ai/glm-5.1	values	deepinfra	inceptron	-0.307	0.7588	1	0.8797	-0.040
z-ai/glm-5.1	values	deepinfra	novita	0.305	0.7606	1	0.8797	0.039
z-ai/glm-5.1	values	deepinfra	parasail	-1.100	0.2726	1	0.8145	-0.142
z-ai/glm-5.1	values	deepinfra	phala	-1.100	0.2726	1	0.8145	-0.142
z-ai/glm-5.1	values	deepinfra	siliconflow	-0.590	0.5556	1	0.8752	-0.076
z-ai/glm-5.1	values	deepinfra	together	0.338	0.7353	1	0.8797	0.044
z-ai/glm-5.1	values	deepinfra	venice	-1.765	0.07898	1	0.7424	-0.228
z-ai/glm-5.1	values	deepinfra	zai	-0.853	0.3944	1	0.8145	-0.110
z-ai/glm-5.1	values	friendli	gmicloud	-0.307	0.7588	1	0.8797	-0.040
z-ai/glm-5.1	values	friendli	inceptron	-0.307	0.7588	1	0.8797	-0.040
z-ai/glm-5.1	values	friendli	novita	0.305	0.7606	1	0.8797	0.039
z-ai/glm-5.1	values	friendli	parasail	-1.100	0.2726	1	0.8145	-0.142
z-ai/glm-5.1	values	friendli	phala	-1.100	0.2726	1	0.8145	-0.142
z-ai/glm-5.1	values	friendli	siliconflow	-0.590	0.5556	1	0.8752	-0.076
z-ai/glm-5.1	values	friendli	together	0.338	0.7353	1	0.8797	0.044
z-ai/glm-5.1	values	friendli	venice	-1.765	0.07898	1	0.7424	-0.228
z-ai/glm-5.1	values	friendli	zai	-0.853	0.3944	1	0.8145	-0.110
z-ai/glm-5.1	values	gmicloud	inceptron	0.000	1	1	1	0.000
z-ai/glm-5.1	values	gmicloud	novita	0.586	0.5587	1	0.8752	0.076
z-ai/glm-5.1	values	gmicloud	parasail	-0.798	0.4259	1	0.8145	-0.103
z-ai/glm-5.1	values	gmicloud	phala	-0.798	0.4259	1	0.8145	-0.103
z-ai/glm-5.1	values	gmicloud	siliconflow	-0.284	0.7766	1	0.8797	-0.037
z-ai/glm-5.1	values	gmicloud	together	0.644	0.5203	1	0.8752	0.083
z-ai/glm-5.1	values	gmicloud	venice	-1.471	0.1428	1	0.8145	-0.190
z-ai/glm-5.1	values	gmicloud	zai	-0.549	0.5836	1	0.8752	-0.071
z-ai/glm-5.1	values	inceptron	novita	0.586	0.5587	1	0.8752	0.076
z-ai/glm-5.1	values	inceptron	parasail	-0.798	0.4259	1	0.8145	-0.103
z-ai/glm-5.1	values	inceptron	phala	-0.798	0.4259	1	0.8145	-0.103
z-ai/glm-5.1	values	inceptron	siliconflow	-0.284	0.7766	1	0.8797	-0.037
z-ai/glm-5.1	values	inceptron	together	0.644	0.5203	1	0.8752	0.083
z-ai/glm-5.1	values	inceptron	venice	-1.471	0.1428	1	0.8145	-0.190
z-ai/glm-5.1	values	inceptron	zai	-0.549	0.5836	1	0.8752	-0.071
z-ai/glm-5.1	values	novita	parasail	-1.322	0.1876	1	0.8145	-0.171
z-ai/glm-5.1	values	novita	phala	-1.322	0.1876	1	0.8145	-0.171
z-ai/glm-5.1	values	novita	siliconflow	-0.846	0.3982	1	0.8145	-0.109
z-ai/glm-5.1	values	novita	together	0.000	1	1	1	0.000
z-ai/glm-5.1	values	novita	venice	-1.951	0.05228	1	0.7424	-0.252
z-ai/glm-5.1	values	novita	zai	-1.091	0.2764	1	0.8145	-0.141
z-ai/glm-5.1	values	parasail	phala	0.000	1	1	1	0.000
z-ai/glm-5.1	values	parasail	siliconflow	0.516	0.6066	1	0.8762	0.067
z-ai/glm-5.1	values	parasail	together	1.426	0.1554	1	0.8145	0.184
z-ai/glm-5.1	values	parasail	venice	-0.683	0.4952	1	0.8752	-0.088
z-ai/glm-5.1	values	parasail	zai	0.251	0.8023	1	0.8797	0.032
z-ai/glm-5.1	values	phala	siliconflow	0.516	0.6066	1	0.8762	0.067
z-ai/glm-5.1	values	phala	together	1.426	0.1554	1	0.8145	0.184
z-ai/glm-5.1	values	phala	venice	-0.683	0.4952	1	0.8752	-0.088
z-ai/glm-5.1	values	phala	zai	0.251	0.8023	1	0.8797	0.032
z-ai/glm-5.1	values	siliconflow	together	0.924	0.3566	1	0.8145	0.119
z-ai/glm-5.1	values	siliconflow	venice	-1.194	0.2338	1	0.8145	-0.154
z-ai/glm-5.1	values	siliconflow	zai	-0.266	0.7908	1	0.8797	-0.034
z-ai/glm-5.1	values	together	venice	-2.080	0.03882	1	0.7424	-0.269
z-ai/glm-5.1	values	together	zai	-1.183	0.238	1	0.8145	-0.153
z-ai/glm-5.1	values	venice	zai	0.932	0.3523	1	0.8145	0.120
deepseek/deepseek-v3.2	values	alibaba	atlascloud	1.355	0.177	1	0.4786	0.175
deepseek/deepseek-v3.2	values	alibaba	baidu	0.382	0.7027	1	0.8411	0.049
deepseek/deepseek-v3.2	values	alibaba	chutes	0.815	0.4158	1	0.6451	0.105
deepseek/deepseek-v3.2	values	alibaba	deepinfra	2.026	0.04503	1	0.4786	0.262
deepseek/deepseek-v3.2	values	alibaba	friendli	1.355	0.177	1	0.4786	0.175
deepseek/deepseek-v3.2	values	alibaba	google	0.336	0.7373	1	0.8507	0.043
deepseek/deepseek-v3.2	values	alibaba	novita	2.026	0.04503	1	0.4786	0.262
deepseek/deepseek-v3.2	values	alibaba	parasail	0.825	0.4105	1	0.6451	0.106
deepseek/deepseek-v3.2	values	alibaba	siliconflow	2.026	0.04503	1	0.4786	0.262
deepseek/deepseek-v3.2	values	atlascloud	baidu	-1.006	0.3155	1	0.5748	-0.130
deepseek/deepseek-v3.2	values	atlascloud	chutes	-0.585	0.5589	1	0.768	-0.076
deepseek/deepseek-v3.2	values	atlascloud	deepinfra	1.000	0.3193	1	0.5748	0.129
deepseek/deepseek-v3.2	values	atlascloud	friendli	0.000	1	1	1	0.000
deepseek/deepseek-v3.2	values	atlascloud	google	-0.819	0.4141	1	0.6451	-0.106
deepseek/deepseek-v3.2	values	atlascloud	novita	1.000	0.3193	1	0.5748	0.129
deepseek/deepseek-v3.2	values	atlascloud	parasail	-0.579	0.5632	1	0.768	-0.075
deepseek/deepseek-v3.2	values	atlascloud	siliconflow	1.000	0.3193	1	0.5748	0.129
deepseek/deepseek-v3.2	values	baidu	chutes	0.441	0.6595	1	0.8411	0.057
deepseek/deepseek-v3.2	values	baidu	deepinfra	1.747	0.08325	1	0.4786	0.226
deepseek/deepseek-v3.2	values	baidu	friendli	1.006	0.3155	1	0.5748	0.130
deepseek/deepseek-v3.2	values	baidu	google	0.000	1	1	1	0.000
deepseek/deepseek-v3.2	values	baidu	novita	1.747	0.08325	1	0.4786	0.226
deepseek/deepseek-v3.2	values	baidu	parasail	0.450	0.653	1	0.8411	0.058
deepseek/deepseek-v3.2	values	baidu	siliconflow	1.747	0.08325	1	0.4786	0.226
deepseek/deepseek-v3.2	values	chutes	deepinfra	1.420	0.1582	1	0.4786	0.185
deepseek/deepseek-v3.2	values	chutes	friendli	0.585	0.5589	1	0.768	0.076
deepseek/deepseek-v3.2	values	chutes	google	-0.372	0.7102	1	0.8411	-0.048
deepseek/deepseek-v3.2	values	chutes	novita	1.420	0.1582	1	0.4786	0.185
deepseek/deepseek-v3.2	values	chutes	parasail	0.008	0.9933	1	1	0.001
deepseek/deepseek-v3.2	values	chutes	siliconflow	1.420	0.1582	1	0.4786	0.185
deepseek/deepseek-v3.2	values	deepinfra	friendli	-1.000	0.3193	1	0.5748	-0.129
deepseek/deepseek-v3.2	values	deepinfra	google	-1.346	0.1808	1	0.4786	-0.174
deepseek/deepseek-v3.2	values	deepinfra	novita	0.000	1	1	1	0.000
deepseek/deepseek-v3.2	values	deepinfra	parasail	-1.420	0.1582	1	0.4786	-0.183
deepseek/deepseek-v3.2	values	deepinfra	siliconflow	0.000	1	1	1	0.000
deepseek/deepseek-v3.2	values	friendli	google	-0.819	0.4141	1	0.6451	-0.106
deepseek/deepseek-v3.2	values	friendli	novita	1.000	0.3193	1	0.5748	0.129
deepseek/deepseek-v3.2	values	friendli	parasail	-0.579	0.5632	1	0.768	-0.075
deepseek/deepseek-v3.2	values	friendli	siliconflow	1.000	0.3193	1	0.5748	0.129
deepseek/deepseek-v3.2	values	google	novita	1.346	0.1808	1	0.4786	0.174
deepseek/deepseek-v3.2	values	google	parasail	0.379	0.7048	1	0.8411	0.049
deepseek/deepseek-v3.2	values	google	siliconflow	1.346	0.1808	1	0.4786	0.174
deepseek/deepseek-v3.2	values	novita	parasail	-1.420	0.1582	1	0.4786	-0.183
deepseek/deepseek-v3.2	values	novita	siliconflow	0.000	1	1	1	0.000
deepseek/deepseek-v3.2	values	parasail	siliconflow	1.420	0.1582	1	0.4786	0.183
moonshotai/kimi-k2-0905	values	atlascloud	groq	-0.307	0.7588	1	0.9341	-0.040
moonshotai/kimi-k2-0905	values	atlascloud	novita	-0.282	0.7784	1	0.9341	-0.036
moonshotai/kimi-k2-0905	values	atlascloud	siliconflow	-0.853	0.3944	1	0.9341	-0.110
moonshotai/kimi-k2-0905	values	groq	novita	0.000	1	1	1	0.000
moonshotai/kimi-k2-0905	values	groq	siliconflow	-0.549	0.5836	1	0.9341	-0.071
moonshotai/kimi-k2-0905	values	novita	siliconflow	-0.511	0.6095	1	0.9341	-0.066
moonshotai/kimi-k2-thinking	values	atlascloud	google	0.000	1	1	1	0.000
moonshotai/kimi-k2-thinking	values	atlascloud	novita	0.000	1	1	1	0.000
moonshotai/kimi-k2-thinking	values	google	novita	0.000	1	1	1	0.000
